,Timestamp,Latency,Cost,Reliability,predLatency,predCost,predReliability
0,0.0,0.0,13.96396395,1.0,0.08803093000000001,16.51222652,1.0
1,1762.5572716742754,0.0,16.34491635,1.0,0.002108,17.027027020000002,1.0
2,1787.950629144907,0.0,13.06306305,1.0,1.78223814,16.628056630000003,1.0
3,38664.26656072587,1.0412640134194517,16.4092664,1.0,0.39732546999999996,15.096525090000002,1.0
4,38916.14088213444,0.0,16.47361645,1.0,16.85279237,1.09395109,1.0
5,81828.77475625277,1.3287393634194518,2.1235521,1.0,0.09041500000000001,17.15572716,1.0
6,83913.61456050724,0.0,16.7953668,1.0,0.0022310000000000003,17.69626769,1.0
7,83949.48790391535,0.0,17.37451735,1.0,1.79384647,16.69240669,1.0
8,120933.39836644381,1.051095163419452,16.7310167,1.0,0.40608216999999996,13.28185328,1.0
9,121188.57129713148,0.0,16.6023166,1.0,1.30087403,3.6293436400000005,1.0
10,153827.2064212188,0.8428425634194519,2.63835265,1.0,0.08717697999999999,16.52509654,1.0
11,155728.47562207282,0.0,16.4092664,1.0,0.0021319999999999998,17.1042471,1.0
12,155751.09128857404,0.0,16.28056625,1.0,1.7953666099999999,16.628056630000003,1.0
13,191945.700836353,1.014146213419452,16.4092664,1.0,0.8050940799999998,13.397683400000002,1.0
14,192198.6579742357,0.0,16.28056625,1.0,1.5026438099999995,3.1016731,1.0
15,227908.95587538928,0.986675813419452,3.024453,1.0,0.09181104,16.51222651,1.0
16,229932.32167943567,0.0,16.34491635,1.0,0.002172,14.1055341,1.0
17,229960.72216712683,0.0,16.28056625,1.0,1.7765546600000002,16.66666667,1.0
18,266935.1655004248,1.0506535134194517,16.4092664,1.0,0.78891534,11.09395109,1.0
19,267846.0316601023,0.0,16.9240669,1.0,0.6175982099999999,6.640926649999999,1.0
20,281824.84358881414,0.0,5.9845559999999995,1.0,0.09082752,16.615186610000002,1.0
21,283616.0567673519,0.0,16.28056625,1.0,0.0022589999999999997,17.63191764,1.0
22,283639.3826515451,0.0,19.4980695,1.0,1.7651243300000001,16.64092665,1.0
23,321927.441735588,1.0777467634194517,16.6023166,1.0,0.78522265,12.895752899999998,1.0
24,86721496.67979553,0.0,14.67181465,1.0,1.69166718,3.6293436400000005,1.0
25,86762003.02119014,1.216062863419452,4.118404099999999,1.0,0.0934093,16.61518662,1.0
26,86764030.67830023,0.0,16.216216199999998,1.0,0.002226,16.04890605,1.0
27,86764059.70590588,0.0,17.76061775,1.0,1.8103533300000003,16.71814672,1.0
28,86802499.93265474,1.114481363419452,16.34491635,1.0,0.7882645400000001,15.212355220000001,1.0
29,86802752.76859301,0.0,16.47361645,1.0,1.3749246599999998,2.11068211,1.0
30,86836968.14075333,0.9214827134194519,2.0592020499999997,1.0,0.09455049,16.512226520000002,1.0
31,86838774.82740158,0.0,16.34491635,1.0,0.002225,15.03217503,1.0
32,86838802.09497294,0.0,13.06306305,1.0,1.76849774,16.576576579999998,1.0
33,86876013.91181478,1.0617776134194519,16.7310167,1.0,0.7660041400000002,16.58944659,1.0
34,86876281.37378553,0.0,16.6023166,1.0,0.77010432,4.22136422,1.0
35,86897206.2015596,0.29433361341945197,4.0540540499999995,1.0,0.08628598999999999,16.43500644,1.0
36,86899010.50909558,0.0,16.28056625,1.0,0.002158,18.40411841,1.0
37,86899033.7047202,0.0,19.4980695,1.0,1.75957724,16.795366790000003,1.0
38,86936936.15507749,1.0575185634194517,16.47361645,1.0,0.7575033700000001,14.83912484,1.0
39,173336403.15346974,0.0,15.76576575,1.0,0.23795547,14.388674390000004,1.0
40,173342845.09211338,0.0,13.706563700000002,1.0,0.08790926,16.512226520000002,1.0
41,173344827.82748947,0.0,16.34491635,1.0,0.002155,15.25096524,1.0
