i,Timestamp,Latency,Cost,Reliability,predLatency,predCost,predReliability
0,0.0,0.2660305,13.96396395,1,0.18622134999999998,9.774774765,1
1,1762.5572719999998,0.08171075,16.34491635,1,0.05719752499999999,11.441441444999999,1
2,1787.950629,0.00117,13.06306305,1,0.000819,9.144144135,1
3,38664.266560000004,1.7267531999999999,16.4092664,1,1.2087272399999998,11.48648648,1
4,38916.14088,0.011759200000000001,16.47361645,1,0.00823144,11.531531515000001,1
5,81828.77476,2.01422855,2.1235521,1,1.4099599849999997,1.4864864699999998,1
6,83913.61456,0.0966012,16.7953668,1,0.06762083999999999,11.75675676,1
7,83949.4879,0.001645,17.37451735,1,0.0011515,12.162162145,1
8,120933.3984,1.73658435,16.731016699999998,1,1.2156090449999999,11.711711689999998,1
9,121188.5713,0.01191085,16.602316599999998,1,0.008337595,11.621621619999997,1
10,153827.2064,1.52833175,2.63835265,1,1.0698322249999999,1.8468468549999997,1
11,155728.4756,0.08808785,16.4092664,1,0.06166149499999999,11.48648648,1
12,155751.0913,0.0010400000000000001,16.28056625,1,0.000728,11.396396374999998,1
13,191945.7008,1.6996354,16.4092664,1,1.1897447799999998,11.48648648,1
14,192198.658,0.0118258,16.28056625,1,0.008278059999999999,11.396396374999998,1
15,227908.9559,1.6721650000000001,3.024453,1,1.1705155,2.1171170999999998,1
16,229932.3217,0.09362715,16.34491635,1,0.065539005,11.441441444999999,1
17,229960.7222,0.0013050000000000002,16.28056625,1,0.0009135,11.396396374999998,1
18,266935.1655,1.7361427,16.4092664,1,1.21529989,11.48648648,1
19,267846.0317,0.0120375,16.9240669,1,0.00842625,11.846846829999999,1
20,281824.8436,0.6851341,5.9845559999999995,1,0.4795938699999999,4.1891891999999995,1
21,283616.0568,0.08302310000000002,16.28056625,1,0.05811617000000001,11.396396374999998,1
22,283639.3827,0.001075,19.4980695,1,0.0007524999999999999,13.648648649999998,1
23,321927.4417,1.76323595,16.602316599999998,1,1.234265165,11.621621619999997,1
24,86721496.68,0.01417885,14.67181465,1,0.009925195,10.270270255,1
25,86762003.02,1.90155205,4.118404099999999,1,1.331086435,2.8828828699999995,1
26,86764030.68,0.09398089999999999,16.216216199999998,1,0.06578662999999998,11.351351339999997,1
27,86764059.71,0.00133,17.76061775,1,0.000931,12.432432425,1
28,86802499.93,1.79997055,16.34491635,1,1.259979385,11.441441444999999,1
29,86802752.77,0.011788799999999999,16.47361645,1,0.008252159999999998,11.531531515000001,1
30,86836968.14,1.6069719,2.05920205,1,1.1248803299999999,1.441441435,1
31,86838774.83,0.08373565,16.34491635,1,0.05861495499999999,11.441441444999999,1
32,86838802.09,0.001255,13.06306305,1,0.0008784999999999999,9.144144135,1
33,86876013.91,1.7472668000000002,16.731016699999998,1,1.2230867600000002,11.711711689999998,1
34,86876281.37,0.01247905,16.602316599999998,1,0.008735335,11.621621619999997,1
35,86897206.2,0.9798228000000001,4.05405405,1,0.6858759600000001,2.837837835,1
36,86899010.51,0.08350535,16.28056625,1,0.058453745,11.396396374999998,1
37,86899033.7,0.001065,19.4980695,1,0.0007455,13.648648649999998,1
38,86936936.16,1.74300775,16.47361645,1,1.220105425,11.531531515000001,1
39,173336403.2,0.011620700000000001,15.76576575,1,0.008134490000000001,11.036036025,1
40,173342845.1,0.30164925,13.706563699999998,1,0.21115447499999998,9.594594589999998,1
41,173344827.8,0.09200175,16.34491635,1,0.06440122499999999,11.441441444999999,1
42,173344850.1,0.001025,13.06306305,1,0.0007175,9.144144135,1
43,173381271.5,1.7054527,16.7953668,1,1.19381689,11.75675676,1
44,173384329.5,0.14316825,1.8018018,1,0.100217775,1.26126126,1
45,173968342.8,27.39500395,0.57915055,0,19.176502765,0.405405385,0
46,173996275.8,0.67146055,3.7323037000000006,1,0.470022385,2.6126125900000003,1
47,173998794.2,0.08356419999999999,16.34491635,1,0.05849493999999999,11.441441444999999,1
48,260398379.3,0.001085,14.47876445,1,0.0007595,10.135135114999999,1
49,260437352.4,1.8379218000000002,16.47361645,1,1.28654526,11.531531515000001,1
50,260437601.1,1.9350923,16.28056625,1,1.35456461,11.396396374999998,1
51,260472610.0,0.8461271999999999,3.024453,1,0.5922890399999998,2.1171170999999998,1
52,260474712.4,0.09739895,16.4092664,1,0.06817926499999999,11.48648648,1
53,260474737.2,0.0011300000000000001,13.06306305,1,0.000791,9.144144135,1
54,260512584.4,1.77220985,16.731016699999998,1,1.240546895,11.711711689999998,1
55,260512847.7,1.8841674,16.731016699999998,1,1.31891718,11.711711689999998,1
56,260527678.9,0.347585,5.85585585,1,0.24330949999999996,4.099099095,1
57,260529355.7,0.09139995,16.34491635,1,0.06397996499999999,11.441441444999999,1
58,260529608.1,0.001155,13.06306305,1,0.0008085,9.144144135,1
59,260568022.5,1.82060495,16.47361645,1,1.274423465,11.531531515000001,1
60,260568303.8,1.92726055,16.4092664,1,1.349082385,11.48648648,1
61,260607706.3,0.93413095,3.28185325,1,0.653891665,2.297297275,1
62,260609512.4,0.0835928,16.34491635,1,0.05851495999999999,11.441441444999999,1
63,260609535.1,0.001045,14.47876445,1,0.0007314999999999999,10.135135114999999,1
64,260647264.6,1.77150715,16.731016699999998,1,1.2400550049999999,11.711711689999998,1
65,260647547.9,1.8704223000000002,16.731016699999998,1,1.3092956100000002,11.711711689999998,1
66,260688293.9,0.99779055,1.54440155,1,0.698453385,1.0810810849999999,1
67,260690298.3,0.09302250000000001,16.28056625,1,0.06511575,11.396396374999998,1
68,260690323.0,0.001135,14.47876445,1,0.0007945,10.135135114999999,1
69,260727724.7,1.75615875,16.4092664,1,1.229311125,11.48648648,1
70,260727975.0,1.8629113000000002,16.15186615,1,1.3040379100000001,11.306306305,1
71,260748680.0,0.48214425,4.63320465,1,0.337500975,3.2432432549999994,1
72,260750007.0,0.08323385,16.34491635,1,0.058263695,11.441441444999999,1
73,260750032.0,0.001135,17.76061775,1,0.0007945,12.432432425,1
74,260788681.1,1.8145711,16.47361645,1,1.2701997699999998,11.531531515000001,1
75,260788955.6,1.91280055,17.05276705,1,1.338960385,11.936936934999999,1
76,260796911.2,0.18054765,12.93436295,1,0.126383355,9.054054064999999,1
77,260798833.6,0.0891139,16.47361645,1,0.062379729999999994,11.531531515000001,1
78,260798864.5,0.0014199999999999998,15.05791505,1,0.0009939999999999999,10.540540535,1
79,260837708.7,1.82370305,16.602316599999998,1,1.276592135,11.621621619999997,1
80,260837968.1,1.9273361,16.4092664,1,1.3491352699999999,11.48648648,1
81,261235279.0,16.8496133,0.77220075,1,11.794729310000001,0.5405405249999999,1
