,realUtility,predictedUtility
0,-1.0,0.2
1,1.0,0.2
2,0.08333333333333333,0.08333333333333333
3,0.5,0.16666666666666666
4,0.125,0.125
5,0.14285714285714285,0.14285714285714285
6,0.14285714285714285,0.14285714285714285
7,0.25,0.25
8,0.16666666666666666,0.16666666666666666
9,0.1111111111111111,0.1111111111111111
10,0.1,0.020833333333333332
11,0.25,0.007518796992481203
12,0.2,0.2
13,0.14285714285714285,0.14285714285714285
14,0.1,0.1
15,0.1111111111111111,0.1111111111111111
16,0.1111111111111111,0.1111111111111111
17,0.1111111111111111,0.1111111111111111
18,0.2,0.2
19,0.125,0.125
20,0.125,0.125
21,0.125,0.125
22,0.07692307692307693,0.07692307692307693
23,0.07692307692307693,0.07692307692307693
24,0.08333333333333333,0.08333333333333333
25,0.09090909090909091,0.08333333333333333
26,0.07142857142857142,0.07142857142857142
27,0.08333333333333333,0.0625
28,0.14285714285714285,0.1111111111111111
29,0.5,0.1111111111111111
